,Anhui,Beijing,Guangdong,Henan,Hunan,Jiangxi,Shanghai,Zhejiang
0,23,28,67,1831,39,6,760,26
1,28,34,81,2213,47,7,919,31
2,33,41,98,2668,57,9,1108,38
3,39,48,114,3100,67,11,1287,44
4,45,55,131,3564,77,12,1480,51
5,51,63,150,4070,88,14,1690,58
6,58,71,170,4630,100,16,1923,66
7,66,81,193,5254,113,18,2182,75
8,75,92,219,5953,128,21,2472,85
9,85,104,248,6737,145,24,2798,96
10,96,118,281,7620,164,27,3164,109
11,109,133,317,8615,186,30,3578,123
12,123,150,359,9737,210,34,4044,140
13,139,170,406,11004,238,39,4570,158
14,157,192,458,12434,269,44,5164,178
15,178,217,518,14049,304,50,5835,202
16,201,246,585,15873,343,56,6592,228
17,223,273,650,17618,381,62,7317,253
18,244,298,711,19278,417,68,8006,277
19,264,323,769,20839,451,74,8655,299
20,282,345,822,22285,482,79,9255,320
21,299,365,870,23592,510,84,9798,339
22,314,383,912,24737,535,88,10274,356
23,326,398,948,25695,556,91,10672,369
24,335,409,975,26441,572,94,10982,380
25,342,417,994,26954,583,96,11195,388
26,345,421,1004,27216,589,97,11304,391
27,345,421,1004,27213,589,97,11303,391
28,342,417,994,26936,583,96,11188,387
29,335,409,973,26386,571,94,10959,379
30,324,395,942,25534,552,91,10606,367
31,310,378,902,24444,529,87,10153,351
32,294,359,855,23169,501,82,9623,333
33,276,337,803,21761,471,77,9039,313
34,257,314,747,20265,438,72,8417,291
35,237,290,690,18721,405,66,7776,269
36,217,266,633,17162,371,61,7128,247
37,198,242,576,15617,338,55,6487,224
38,179,218,520,14112,305,50,5862,203
39,160,196,467,12665,274,45,5261,182
40,143,175,416,11292,244,40,4690,162
