,Anhui,Beijing,Guangdong,Henan,Hunan,Jiangxi,Shanghai,Zhejiang
0,57,69,166,4515,97,16,3750,64
1,70,86,204,5550,120,19,4610,79
2,86,105,251,6815,147,24,5661,98
3,103,125,299,8126,175,28,6750,116
4,121,148,353,9574,207,34,7952,137
5,142,173,413,11201,242,39,9304,161
6,165,202,481,13052,282,46,10841,187
7,192,235,559,15174,328,54,12603,218
8,223,273,650,17615,381,62,14631,253
9,259,316,754,20431,442,72,16970,294
10,300,367,874,23687,512,84,19673,340
11,348,425,1013,27452,594,97,22800,395
12,403,493,1173,31810,688,113,26420,457
13,467,571,1360,36856,798,131,30610,530
14,542,662,1575,42700,924,152,35463,614
15,628,766,1825,49467,1071,176,41083,712
16,727,888,2115,57306,1241,204,47592,825
17,826,1009,2402,65092,1409,232,54057,937
18,926,1131,2692,72936,1579,260,60570,1050
19,1027,1254,2986,80920,1752,288,67198,1165
20,1131,1381,3288,89084,1929,318,73976,1282
21,1238,1511,3597,97450,2111,347,80920,1403
22,1347,1644,3914,106021,2297,378,88034,1527
23,1458,1780,4237,114786,2487,409,95308,1653
24,1572,1919,4568,123723,2681,441,102724,1782
25,1687,2060,4903,132799,2878,474,110254,1913
26,1804,2203,5242,141973,3078,507,117863,2046
27,1922,2347,5583,151194,3278,540,125510,2179
28,2039,2490,5924,160407,3479,573,133149,2312
29,2156,2633,6263,169552,3678,606,140729,2445
30,2227,2719,6467,175082,3798,625,145309,2525
31,2259,2758,6559,177552,3852,634,147351,2561
32,2258,2757,6556,177454,3851,634,147262,2560
33,2230,2723,6474,175222,3803,626,145403,2528
34,2179,2661,6327,171241,3717,612,142093,2471
35,2111,2578,6129,165852,3601,593,137615,2393
36,2029,2477,5889,159356,3460,570,132217,2300
37,1935,2363,5618,152016,3301,544,126122,2194
38,1834,2240,5325,144067,3129,515,119520,2080
39,1728,2110,5016,135710,2948,485,112581,1959
40,1619,1977,4699,127121,2762,455,105450,1836
