place|confirmed_cases|deaths|notes|sources
Thailand|19|0|7 recovered|https://www.bbc.com/thai/amp/thailand-51321489
Japan|20|0||https://www.mhlw.go.jp/stf/newpage_09278.html
Singapore|18|0|All stable|https://bnonews.com/wp-content/uploads/2020/02/212020case.pdf
Malaysia|8|0|Stable|https://kpkesihatan.com/2020/01/30/kenyataan-akhbar-kpk-30-januari-2020-situasi-terkini-jangkitan-2019-novel-coronavirus-2019-ncov-di-malaysia/
Australia|12|0|2 recovered|https://www.abc.net.au/news/2020-02-01/coronavirus-confirmed-in-south-australia-and-victoria/11920754
France|6|0|2 serious|https://www.france24.com/en/20200130-france-confirms-sixth-case-of-coronavirus-infection-health-official-says
United States|8|0||https://www.mass.gov/news/man-returning-from-wuhan-china-is-first-case-of-2019-novel-coronavirus-confirmed-in
Germany|8|0||https://www.stmgp.bayern.de/presse/aktuelle-informationen-zur-coronavirus-lage-in-bayern-bayerisches-gesundheitsministerium-8/
South Korea|15|0||https://www.yna.co.kr/view/AKR20200202000700017
UAE|5|0|Stable|https://www.wam.ae/en/details/1395302820367
Canada|4|0||https://news.ontario.ca/mohltc/en/2020/01/ontario-confirms-third-case-of-2019-novel-coronavirus.html
Vietnam|6|0|1 recovered|https://vietnamnet.vn/vn/suc-khoe/suc-khoe-24h/viet-nam-cong-bo-ca-thu-6-nhiem-virus-corona-612912.html
England|2|0||https://www.gov.uk/government/news/cmo-confirms-cases-of-coronavirus-in-england
Russia|2|0||https://tass.ru/obschestvo/7656549
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Cambodia|1|0||https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka|1|0|1 recovered|https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Finland|1|0||https://www.hs.fi/kotimaa/art-2000006387778.html
Philippines|2|1||https://twitter.com/WHOPhilippines/status/1223797298477424641
India|1|0|Stable|https://pib.gov.in/PressReleseDetail.aspx?PRID=1601095
Italy|2|0||http://www.rainews.it/dl/rainews/articoli/Conte-due-casi-di-coronavirus-accertati-in-Italia-60b4294a-3a3f-4b05-ad1f-b096d1c60110.html
Sweden|1|0||https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/januari/bekraftat-fall-av-nytt-coronavirus-i-sverige/
Spain|1|0||https://www.antena3.com/noticias/sociedad/confirmado-caso-coronavirus-gomera_202001315e34a9380cf2cfb788f47b07.html
INTERNATIONAL TOTAL|144|1|2 serious|
