,Anhui,Beijing,Guangdong,Henan,Hunan,Jiangxi,Shanghai,Zhejiang
0,60,47,166,158,97,127,34,161
1,74,58,204,194,120,156,42,198
2,91,71,251,238,147,191,51,243
3,109,84,299,284,175,228,61,290
4,128,100,353,335,207,269,73,342
5,150,117,413,392,242,315,85,400
6,175,136,481,457,282,367,99,467
7,203,158,559,531,328,427,115,543
8,236,184,650,617,381,496,134,630
9,274,213,754,716,442,575,155,731
10,318,247,874,830,512,667,180,847
11,368,287,1013,962,594,773,209,982
12,427,332,1173,1115,688,896,242,1138
13,495,385,1360,1292,798,1038,281,1319
14,573,446,1575,1497,924,1203,325,1528
15,664,517,1825,1734,1071,1393,377,1771
16,770,599,2115,2009,1241,1614,437,2052
17,873,679,2398,2279,1407,1831,495,2327
18,974,758,2676,2543,1570,2043,553,2597
19,1073,835,2947,2800,1729,2250,609,2859
20,1167,909,3207,3047,1882,2449,663,3112
21,1257,978,3452,3281,2026,2636,713,3350
22,1326,1032,3643,3462,2138,2782,753,3535
23,1394,1085,3828,3637,2246,2923,791,3715
24,1457,1134,4002,3803,2348,3056,827,3884
25,1515,1179,4161,3954,2442,3178,860,4039
26,1566,1219,4301,4088,2524,3285,889,4175
27,1609,1252,4418,4199,2592,3374,913,4288
28,1641,1277,4507,4283,2645,3442,932,4374
29,1662,1294,4565,4338,2679,3487,944,4431
30,1668,1298,4581,4354,2688,3499,947,4446
31,1662,1293,4562,4336,2678,3485,943,4429
32,1645,1280,4517,4293,2651,3450,934,4385
33,1620,1261,4449,4228,2611,3398,920,4319
34,1589,1237,4363,4147,2561,3333,902,4236
35,1553,1209,4264,4053,2502,3257,882,4139
36,1513,1178,4154,3948,2438,3173,859,4032
37,1470,1144,4036,3836,2368,3083,834,3918
38,1425,1109,3912,3718,2296,2989,809,3798
39,1379,1073,3785,3597,2221,2891,782,3674
40,1331,1036,3655,3474,2145,2792,756,3549
