,Anhui,Beijing,Guangdong,Henan,Hunan,Jiangxi,Shanghai,Zhejiang
0,63,49,173,164,101,132,35,167
1,77,60,211,201,124,161,43,205
2,94,73,258,245,151,197,53,251
3,113,87,310,294,182,236,64,301
4,133,104,367,348,215,280,75,356
5,156,122,431,409,252,329,89,418
6,183,143,504,479,296,385,104,489
7,214,166,588,559,345,449,121,570
8,249,194,685,651,402,523,141,665
9,290,225,797,757,467,608,164,773
10,337,262,927,881,544,708,191,899
11,392,305,1077,1023,632,822,222,1045
12,455,354,1251,1189,734,955,258,1214
13,529,412,1454,1381,853,1110,300,1410
14,615,478,1689,1605,991,1289,349,1639
15,714,555,1961,1863,1150,1497,405,1902
16,829,645,2277,2163,1336,1738,470,2209
17,943,734,2591,2462,1520,1978,535,2514
18,1054,821,2896,2752,1699,2211,598,2810
19,1163,905,3195,3036,1874,2439,660,3100
20,1268,987,3484,3310,2044,2660,720,3381
21,1368,1065,3757,3570,2205,2869,776,3646
22,1460,1136,4009,3810,2353,3062,829,3891
23,1543,1201,4237,4026,2486,3235,876,4111
24,1615,1257,4435,4215,2602,3387,917,4304
25,1673,1302,4595,4367,2696,3509,950,4460
26,1716,1336,4712,4478,2765,3599,974,4574
27,1741,1355,4780,4543,2805,3651,988,4639
28,1745,1358,4791,4553,2811,3659,990,4650
29,1729,1346,4747,4512,2786,3626,981,4608
30,1690,1315,4639,4409,2722,3544,959,4503
31,1633,1271,4482,4260,2631,3424,927,4351
32,1561,1215,4285,4073,2515,3273,886,4160
33,1477,1150,4055,3854,2380,3098,838,3936
34,1385,1078,3803,3615,2232,2905,786,3692
35,1287,1002,3534,3359,2074,2700,731,3431
36,1188,924,3261,3099,1914,2491,674,3166
37,1087,846,2985,2837,1752,2280,617,2898
38,988,769,2712,2578,1592,2072,561,2633
39,891,694,2447,2326,1436,1869,506,2375
40,798,621,2191,2083,1286,1674,453,2128
