,Anhui,Beijing,CHINA TOTAL,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Taiwan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang
0,1,10,0,6,1,0,26,2,1,4,1,0,5,0,444,4,0,0,2,0,2,1,1,0,0,2,9,1,5,1,4,0,0,1,10
1,9,22,0,9,5,2,32,5,3,5,1,2,5,2,444,9,0,5,3,1,3,2,1,0,3,6,16,1,8,1,4,0,2,1,27
2,15,36,0,27,10,2,53,13,3,8,2,4,9,2,549,24,2,9,7,3,4,2,2,0,5,15,20,1,15,1,8,0,2,5,43
3,39,41,1377,57,18,4,78,23,4,19,8,9,32,5,730,43,7,18,18,4,16,2,3,1,15,27,33,6,28,3,10,0,3,11,62
4,60,54,2744,75,18,7,98,33,5,22,13,15,83,5,1052,69,7,31,36,4,19,5,4,1,22,39,40,9,44,3,13,0,4,11,104
5,70,80,2857,110,59,14,151,46,7,33,18,21,128,8,1423,100,11,47,48,6,27,6,7,6,35,75,53,13,69,5,22,0,5,26,128
6,106,91,4630,132,80,19,207,51,9,40,33,30,168,8,2714,143,15,70,72,8,34,7,11,6,46,95,66,20,90,8,24,0,10,44,173
7,152,111,6095,147,84,24,277,58,9,43,48,38,206,10,3554,221,16,99,109,9,39,7,12,6,56,130,96,27,108,8,27,0,13,55,296
8,200,114,8149,182,101,26,354,78,12,46,65,44,278,10,4903,277,18,129,162,14,41,7,17,8,63,158,112,35,142,9,31,1,14,70,428
9,237,139,9812,211,120,29,436,87,29,52,82,59,352,12,5806,332,20,168,240,14,48,7,21,8,87,184,135,39,177,10,32,1,17,83,538
10,297,168,11901,247,144,40,535,100,29,62,96,80,422,13,7153,389,23,202,286,17,64,7,26,9,101,206,169,47,207,10,41,1,18,93,599
11,340,191,14490,275,159,40,632,111,38,64,104,95,493,14,9074,463,27,236,333,23,70,8,28,11,116,230,182,56,231,10,48,1,21,105,661
12,408,212,17341,312,179,51,725,127,46,72,113,121,566,15,11177,521,34,271,391,31,74,8,31,13,128,259,203,66,254,10,60,1,24,114,724
13,480,228,20530,344,194,57,813,139,58,80,126,155,675,17,13522,593,35,308,476,42,81,10,34,15,142,275,219,74,282,11,67,1,29,119,829
