Date,Point,Rate,Flow
2020/1/1,3.46,2.183%,109.1 
2020/1/2,3.52,2.220%,111.0 
2020/1/3,5.52,3.482%,174.1 
2020/1/4,6.1,3.848%,192.4 
2020/1/5,5.32,3.356%,167.8 
2020/1/6,5.6,3.532%,176.6 
2020/1/7,6.41,4.043%,202.2 
2020/1/8,7.34,4.630%,231.5 
2020/1/9,8.14,5.135%,256.7 
2020/1/10,6.62,4.176%,208.8 
2020/1/11,7.56,4.769%,238.4 
2020/1/12,6.22,3.924%,196.2 
2020/1/13,5.76,3.633%,181.7 
2020/1/14,5.46,3.444%,172.2 
2020/1/15,5.91,3.728%,186.4 
2020/1/16,6,3.785%,189.2 
2020/1/17,6.44,4.062%,203.1 
2020/1/18,7.71,4.863%,243.2 
2020/1/19,7.41,4.674%,233.7 
2020/1/20,8.31,5.242%,262.1 
2020/1/21,10.74,6.775%,338.7 
2020/1/22,11.84,7.469%,373.4 
2020/1/23,11.14,7.027%,351.4 
